path,owner_issues,state
locales/en/commands/auto/autoreact.json,#42,source-reconciled
locales/en/commands/auto/autoresponder.json,#42,source-reconciled
locales/en/commands/auto/autorole.json,#42,source-reconciled
locales/en/commands/auto/badge.json,#42,source-reconciled
locales/en/commands/auto/pingonjoin/disable.json,#42,source-reconciled
locales/en/commands/auto/pingonjoin/enable.json,#42,source-reconciled
locales/en/commands/auto/pingonjoin/index.json,#42,source-reconciled
locales/en/commands/auto/pingonjoin/info.json,#42,source-reconciled
locales/en/commands/auto/pingonjoin/message.json,#42,source-reconciled
locales/en/commands/auto/react/add.json,#42,source-reconciled
locales/en/commands/auto/react/channels/add.json,#42,source-reconciled
locales/en/commands/auto/react/channels/list.json,#42,source-reconciled
locales/en/commands/auto/react/channels/remove.json,#42,source-reconciled
locales/en/commands/auto/react/clear.json,#42,source-reconciled
locales/en/commands/auto/react/index.json,#42,source-reconciled
locales/en/commands/auto/react/list.json,#42,source-reconciled
locales/en/commands/auto/react/remove.json,#42,source-reconciled
locales/en/commands/auto/react/roles/add.json,#42,source-reconciled
locales/en/commands/auto/react/roles/list.json,#42,source-reconciled
locales/en/commands/auto/react/roles/remove.json,#42,source-reconciled
locales/en/commands/auto/responder/add.json,#42,source-reconciled
locales/en/commands/auto/responder/channels/add.json,#42,source-reconciled
locales/en/commands/auto/responder/channels/list.json,#42,source-reconciled
locales/en/commands/auto/responder/channels/remove.json,#42,source-reconciled
locales/en/commands/auto/responder/clear.json,#42,source-reconciled
locales/en/commands/auto/responder/index.json,#42,source-reconciled
locales/en/commands/auto/responder/list.json,#42,source-reconciled
locales/en/commands/auto/responder/remove.json,#42,source-reconciled
locales/en/commands/auto/responder/reset.json,#42,source-reconciled
locales/en/commands/auto/responder/role.json,#42,source-reconciled
locales/en/commands/auto/responder/roles/add.json,#42,source-reconciled
locales/en/commands/auto/responder/roles/add_list.json,#42,source-reconciled
locales/en/commands/auto/responder/roles/list.json,#42,source-reconciled
locales/en/commands/auto/responder/roles/remove.json,#42,source-reconciled
locales/en/commands/auto/responder/roles/remove_list.json,#42,source-reconciled
locales/en/commands/auto/responder/update.json,#42,source-reconciled
locales/en/commands/auto/role/add.json,#42,source-reconciled
locales/en/commands/auto/role/clear.json,#42,source-reconciled
locales/en/commands/auto/role/index.json,#42,source-reconciled
locales/en/commands/auto/role/list.json,#42,source-reconciled
locales/en/commands/auto/role/remove.json,#42,source-reconciled
locales/en/commands/auto/tracking.json,#42,source-reconciled
locales/en/commands/auto/tracking/add.json,#42,source-reconciled
locales/en/commands/auto/tracking/index.json,#42,source-reconciled
locales/en/commands/auto/tracking/list.json,#42,source-reconciled
locales/en/commands/auto/tracking/lookup.json,#42,source-reconciled
locales/en/commands/auto/tracking/notify/add.json,#42,source-reconciled
locales/en/commands/auto/tracking/notify/list.json,#42,source-reconciled
locales/en/commands/auto/tracking/notify/remove.json,#42,source-reconciled
locales/en/commands/auto/tracking/remove.json,#42,source-reconciled
locales/en/commands/auto/tracking/username/channel.json,#42,source-reconciled
locales/en/commands/auto/tracking/username/unset.json,#42,source-reconciled
locales/en/commands/auto/tracking/vanity/set.json,#42,source-reconciled
locales/en/commands/auto/tracking/vanity/unset.json,#42,source-reconciled
locales/en/commands/auto/vanity.json,#42,source-reconciled
locales/en/commands/boosters/index.json,#43,source-reconciled
locales/en/commands/boosters/list.json,#43,source-reconciled
locales/en/commands/boosters/lost.json,#43,source-reconciled
locales/en/commands/developer/cmds.json,#64,evidence-gap
locales/en/commands/developer/eval.json,#64,evidence-gap
locales/en/commands/developer/globalEconomy.json,#64,evidence-gap
locales/en/commands/developer/sudo.json,#64,evidence-gap
locales/en/commands/economy/bal.json,#48;#49,source-reconciled
locales/en/commands/economy/balance.json,#48;#49,source-reconciled
locales/en/commands/economy/blackjack.json,#48;#49,source-reconciled
locales/en/commands/economy/bombs.json,#48;#49,source-reconciled
locales/en/commands/economy/circulation.json,#48;#49,source-reconciled
locales/en/commands/economy/coinflip.json,#48;#49,source-reconciled
locales/en/commands/economy/config.json,#48;#49,source-reconciled
locales/en/commands/economy/crash.json,#48;#49,source-reconciled
locales/en/commands/economy/crime.json,#48;#49,source-reconciled
locales/en/commands/economy/daily.json,#48;#49,source-reconciled
locales/en/commands/economy/destroy.json,#48;#49,source-reconciled
locales/en/commands/economy/dice.json,#48;#49,source-reconciled
locales/en/commands/economy/disable.json,#48;#49,source-reconciled
locales/en/commands/economy/enable.json,#48;#49,source-reconciled
locales/en/commands/economy/gamble.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/create.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/disband.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/index.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/info.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/invite.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/leave.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/promote.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/setbanner.json,#48;#49,source-reconciled
locales/en/commands/economy/gang/transfer.json,#48;#49,source-reconciled
locales/en/commands/economy/highlow.json,#48;#49,source-reconciled
locales/en/commands/economy/index.json,#48;#49,source-reconciled
locales/en/commands/economy/job.json,#48;#49,source-reconciled
locales/en/commands/economy/jobAdd.json,#48;#49,source-reconciled
locales/en/commands/economy/jobRemove.json,#48;#49,source-reconciled
locales/en/commands/economy/lab/ampoules.json,#48;#49,source-reconciled
locales/en/commands/economy/lab/buy.json,#48;#49,source-reconciled
locales/en/commands/economy/lab/collect.json,#48;#49,source-reconciled
locales/en/commands/economy/lab/index.json,#48;#49,source-reconciled
locales/en/commands/economy/lab/status.json,#48;#49,source-reconciled
locales/en/commands/economy/lab/upgrade.json,#48;#49,source-reconciled
locales/en/commands/economy/ladder.json,#48;#49,source-reconciled
locales/en/commands/economy/leaderboard.json,#48;#49,source-reconciled
locales/en/commands/economy/mode.json,#48;#49,source-reconciled
locales/en/commands/economy/plinko.json,#48;#49,source-reconciled
locales/en/commands/economy/preset.json,#48;#49,source-reconciled
locales/en/commands/economy/reset.json,#48;#49,source-reconciled
locales/en/commands/economy/rob.json,#48;#49,source-reconciled
locales/en/commands/economy/roulette.json,#48;#49,source-reconciled
locales/en/commands/economy/scratch.json,#48;#49,source-reconciled
locales/en/commands/economy/shop.json,#48;#49,source-reconciled
locales/en/commands/economy/shopAdd.json,#48;#49,source-reconciled
locales/en/commands/economy/shopRemove.json,#48;#49,source-reconciled
locales/en/commands/economy/slots.json,#48;#49,source-reconciled
locales/en/commands/economy/transfer.json,#48;#49,source-reconciled
locales/en/commands/economy/work.json,#48;#49,source-reconciled
locales/en/commands/fun/8ball.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/alert.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/animate.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/bitches.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/blacktea.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/blacktea/end.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/blacktea/index.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/calling.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/captcha.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/choose.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/clearsnipe.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/compress.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/diary.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/didyoumean.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/distort.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/dominant.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/drake.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/drip.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/editsnipe.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/eightball.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/facts.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/flag.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/flags.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/flags/end.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/flags/index.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/games.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/gang.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/gun.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/howgay.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/image.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/iq.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/jumbo.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/modify.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/nword.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/nwordlb.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/oogway.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/overlay.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/pick.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/poll.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/polls.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/pooh.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/pp.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/quickpoll.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/quote.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/randomhex.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/reactionsnipe.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/render.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/roast.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/rotate.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/rps.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/sadcat.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/scene.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/ship.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/simple.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/smoke.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/snipe.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/spark.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/supreme.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/taps.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/text.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/tictactoe.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/utility.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/uwuify.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/uwulock.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/vape.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/vape/flavor.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/vape/hits.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/vape/index.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/vape/steal.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/wanted.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/fun/wyr.json,#35;#52;#53;#54;#56,source-reconciled
locales/en/commands/information/afk.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/avatar.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/banner.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/bans.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/bible.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/boomer.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/botinfo.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/bots.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/channelinfo.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/clearnames.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/color.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/dominant.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/emojis.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/firstmessage.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/getbotinvite.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/github.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/guildbanner.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/guildicon.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/guildsplash.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/guildstats.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/help.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/inrole.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/invite.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/inviteinfo.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/invites.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/membercount.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/namehistory.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/newest.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/newusers.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/ocr.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/oldest.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/permissions.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/ping.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/quran.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/reverse.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/roleinfo.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/roles.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/screenshot.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/serveravatar.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/serverbanner.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/serverinfo.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/stickers.json,#51;#52;#60;#62,source-reconciled
locales/en/commands/information/timezone.json,#51;#52;#60;#62,source-reconciled
